IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.67.84.118,4,4,0.00,491.79,0.00,LHR
172.64.176.39,4,4,0.00,492.10,0.00,LHR
172.67.127.72,4,4,0.00,492.61,0.00,LHR
104.24.2.49,4,4,0.00,492.71,0.00,LHR
172.67.248.146,4,4,0.00,493.01,0.00,LHR
172.67.73.37,4,4,0.00,493.20,0.00,LHR
172.67.188.40,4,4,0.00,493.49,0.00,LHR
172.67.198.13,4,4,0.00,493.50,0.00,LHR
172.65.40.85,4,4,0.00,493.91,0.00,LHR
172.64.42.83,4,4,0.00,493.99,0.00,LHR
104.19.52.230,4,4,0.00,494.32,0.00,LHR
172.67.100.216,4,4,0.00,494.71,0.00,LHR
104.27.92.99,4,4,0.00,494.80,0.00,LHR
172.67.239.172,4,4,0.00,495.11,0.00,LHR
104.25.17.38,4,4,0.00,495.14,0.00,LHR
172.66.217.84,4,4,0.00,495.23,0.00,LHR
104.21.101.131,4,4,0.00,495.33,0.00,LHR
172.67.224.25,4,4,0.00,495.73,0.00,LHR
172.67.178.51,4,4,0.00,495.83,0.00,LHR
172.64.158.6,4,4,0.00,496.52,0.00,LHR
104.21.39.185,4,4,0.00,496.68,0.00,LHR
172.64.49.246,4,4,0.00,497.69,0.00,LHR
172.67.103.55,4,4,0.00,498.07,0.00,LHR
172.67.219.217,4,4,0.00,498.15,0.00,LHR
104.21.103.9,4,4,0.00,498.74,0.00,LHR
104.25.127.54,4,4,0.00,498.98,0.00,LHR
104.24.217.17,4,4,0.00,499.41,0.00,LHR
172.64.187.130,4,4,0.00,499.42,0.00,LHR
104.26.0.64,4,4,0.00,499.64,0.00,LHR
104.21.9.181,4,4,0.00,500.85,0.00,LHR
104.29.124.202,4,4,0.00,500.92,0.00,LHR
172.67.243.173,4,4,0.00,500.92,0.00,LHR
172.67.139.115,4,4,0.00,502.56,0.00,LHR
172.67.192.251,4,4,0.00,503.43,0.00,LHR
104.19.116.178,4,4,0.00,503.81,0.00,LHR
104.24.249.128,4,4,0.00,503.81,0.00,LHR
104.21.18.195,4,4,0.00,503.92,0.00,LHR
